threshold,clusters_total,compression_pct,test_mae,test_rmse
0.001,567.0,83.7162550258472,0.009569569490849972,0.010004112496972084
0.005,149.0,95.72085008615738,0.6793448328971863,0.6834156513214111
0.01,73.0,97.9035037334865,0.9072597622871399,0.9075577855110168
0.02,32.0,99.0809879379667,0.13081033527851105,0.13523350656032562
0.05,15.0,99.56921309592188,0.002864355454221368,0.0033278705086559057
0.1,10.0,99.71280873061458,0.002765492768958211,0.0032387268729507923
