bits,test_mae,test_rmse
4,0.04694082587957382,0.053409453481435776
6,0.007034973241388798,0.008266337215900421
8,0.0012189127737656236,0.001308195642195642
10,0.0006260246154852211,0.0006641173386014998
12,0.00019936211174353957,0.00025521640782244503
16,0.00011042698315577582,0.00012683049135375768
