epoch,loss,loss_data,loss_physics,loss_smooth
49,2.060216138488613e-05,2.0601917640306056e-05,0.0,2.437032242674775e-10
50,2.796305125229992e-05,2.796281114569865e-05,0.0,2.397499143658166e-10
51,3.5847297112923115e-05,3.584705336834304e-05,0.0,2.424350720175994e-10
52,3.136614031973295e-05,3.136588929919526e-05,0.0,2.513768082579304e-10
53,1.925875221786555e-05,1.9258488464402035e-05,0.0,2.6297361510607686e-10
54,1.4183138773660176e-05,1.4182865015754942e-05,0.0,2.7375798850037825e-10
55,2.0357709217933007e-05,2.0357427274575457e-05,0.0,2.820671751724291e-10
56,2.725531521718949e-05,2.725502781686373e-05,0.0,2.8743840640998997e-10
57,2.5258743335143663e-05,2.52584541158285e-05,0.0,2.894464667946295e-10
58,1.781136597855948e-05,1.781107857823372e-05,0.0,2.8708424526513454e-10
59,1.447006161470199e-05,1.4469782399828546e-05,0.0,2.7918301004348223e-10
60,1.7301908883382566e-05,1.730164331092965e-05,0.0,2.6600471825233285e-10
61,1.9978957425337285e-05,1.9978706404799595e-05,0.0,2.5062249497942446e-10
62,1.8296392227057368e-05,1.8296153939445503e-05,0.0,2.3779953006730636e-10
63,1.5358009477495216e-05,1.5357778465840966e-05,0.0,2.3063924381450107e-10
64,1.5285648260032758e-05,1.528541906736791e-05,0.0,2.2873432314884923e-10
65,1.682583024376072e-05,1.682559923210647e-05,0.0,2.3034832374868586e-10
66,1.6315863831550814e-05,1.6315627362928353e-05,0.0,2.3567126028467555e-10
67,1.3932385627413169e-05,1.3932139154348988e-05,0.0,2.4610793958323995e-10
68,1.3064439372101333e-05,1.3064179256616626e-05,0.0,2.599137849390587e-10
69,1.4604684110963717e-05,1.460441399103729e-05,0.0,2.7042570960311707e-10
70,1.565123602631502e-05,1.565096499689389e-05,0.0,2.7066596186564595e-10
71,1.4245330021367408e-05,1.4245069905882701e-05,0.0,2.597667358994471e-10
72,1.2250769941601902e-05,1.2250526197021827e-05,0.0,2.437393342713534e-10
73,1.2167677596153226e-05,1.2167447493993677e-05,0.0,2.2985124914498556e-10
74,1.3408835911832284e-05,1.3408614904619753e-05,0.0,2.2129849341911978e-10
75,1.3671969099959824e-05,1.36717517307261e-05,0.0,2.1740213795862218e-10
76,1.2570848411996849e-05,1.2570631042763125e-05,0.0,2.1710587494450095e-10
77,1.1746220479835756e-05,1.1746000382117927e-05,0.0,2.2039146896357664e-10
78,1.1981704119534697e-05,1.1981477655353956e-05,0.0,2.265381909838382e-10
79,1.2279233487788588e-05,1.2279000657144934e-05,0.0,2.3280560812466433e-10
80,1.1868126421177294e-05,1.1867890862049535e-05,0.0,2.359172857069325e-10
